code,name,family
ab,Abkhazian,"Northwest Caucasian"
aa,Afar,Afro-Asiatic
af,Afrikaans,Indo-European
ak,Akan,Niger–Congo
sq,Albanian,Indo-European
am,Amharic,Afro-Asiatic
ar,Arabic,Afro-Asiatic
an,Aragonese,Indo-European
hy,Armenian,Indo-European
as,Assamese,Indo-European
av,Avaric,"Northeast Caucasian"
ae,Avestan,Indo-European
ay,Aymara,Aymaran
az,Azerbaijani,Turkic
bm,Bambara,Niger–Congo
ba,Bashkir,Turkic
eu,Basque,"Language isolate"
be,Belarusian,Indo-European
bn,Bengali,Indo-European
bh,Bihari,Indo-European
bi,Bislama,Creole
bs,Bosnian,Indo-European
br,Breton,Indo-European
bg,Bulgarian,Indo-European
my,Burmese,Sino-Tibetan
ca,Catalan,Indo-European
ch,Chamorro,Austronesian
ce,Chechen,"Northeast Caucasian"
ny,"Chichewa , Chewa, Nyanja",Niger–Congo
zh,Chinese,Sino-Tibetan
cv,Chuvash,Turkic
kw,Cornish,Indo-European
co,Corsican,Indo-European
cr,Cree,Algonquian
hr,Croatian,Indo-European
cs,Czech,Indo-European
da,Danish,Indo-European
dv,Dhivehi,Indo-European
nl,Dutch,Indo-European
dz,Dzongkha,Sino-Tibetan
en,English,Indo-European
eo,Esperanto,Constructed
et,Estonian,Uralic
ee,Ewe,Niger–Congo
fo,Faroese,Indo-European
fj,Fijian,Austronesian
fi,Finnish,Uralic
fr,French,Indo-European
ff,Fulah,Niger–Congo
gl,Galician,Indo-European
ka,Georgian,Kartvelian
de,German,Indo-European
el,Greek,Indo-European
gn,Guarani,Tupian
gu,Gujarati,Indo-European
ht,"Haitian Creole",Creole
ha,Hausa,Afro-Asiatic
he,Hebrew,Afro-Asiatic
hz,Herero,Niger–Congo
hi,Hindi,Indo-European
ho,"Hiri Motu",Austronesian
hu,Hungarian,Uralic
ia,Interlingua,Constructed
id,Indonesian,Austronesian
ie,Interlingue,Constructed
ga,Irish,Indo-European
ig,Igbo,Niger–Congo
ik,Inupiaq,Eskimo–Aleut
io,Ido,Constructed
is,Icelandic,Indo-European
it,Italian,Indo-European
iu,Inuktitut,Eskimo–Aleut
ja,Japanese,Japonic
jv,Javanese,Austronesian
kl,Greenlandic,Eskimo–Aleut
kn,Kannada,Dravidian
kr,Kanuri,Nilo-Saharan
ks,Kashmiri,Indo-European
kk,Kazakh,Turkic
km,Khmer,Austroasiatic
ki,Kikuyu,Niger–Congo
rw,Kinyarwanda,Niger–Congo
ky,Kirghiz ,Turkic
kv,Komi,Uralic
kg,Kongo,Niger–Congo
ko,Korean,Koreanic
ku,Kurdish,Indo-European
kj,Kuanyama,Niger–Congo
la,Latin,Indo-European
lb,Luxembourgish,Indo-European
lg,Ganda,Niger–Congo
li,Limburgan,Indo-European
ln,Lingala,Niger–Congo
lo,Lao,Tai–Kadai
lt,Lithuanian,Indo-European
lu,Luba-Katanga,Niger–Congo
lv,Latvian,Indo-European
gv,Manx,Indo-European
mk,Macedonian,Indo-European
mg,Malagasy,Austronesian
ms,Malay,Austronesian
ml,Malayalam,Dravidian
mt,Maltese,Afro-Asiatic
mi,Māori,Austronesian
mr,Marathi,Indo-European
mh,Marshallese,Austronesian
mn,Mongolian,Mongolic
na,Nauru,Austronesian
nv,Navajo,Dené–Yeniseian
nd,Ndebele,Niger–Congo
ne,Nepali,Indo-European
ng,Ndonga,Niger–Congo
no,Norwegian,Indo-European
ii,"Sichuan Yi",Sino-Tibetan
oc,Occitan,Indo-European
oj,Ojibwa,Algonquian
cu,"Church Slavonic",Indo-European
om,Oromo,Afro-Asiatic
or,Oriya,Indo-European
os,Ossetian,Indo-European
pa,Punjabi,Indo-European
pi,Pali,Indo-European
fa,Persian,Indo-European
pl,Polish,Indo-European
ps,Pashto,Indo-European
pt,Portuguese,Indo-European
qu,Quechua,Quechuan
rm,Romansh,Indo-European
rn,Rundi,Niger–Congo
ro,Romanian,Indo-European
ru,Russian,Indo-European
sa,Sanskrit,Indo-European
sc,Sardinian,Indo-European
sd,Sindhi,Indo-European
se,Saame,Uralic
sm,Samoan,Austronesian
sg,Sango,Creole
sr,Serbian,Indo-European
gd,Gaelic,Indo-European
sn,Shona,Niger–Congo
si,Sinhala,Indo-European
sk,Slovak,Indo-European
sl,Slovenian,Indo-European
so,Somali,Afro-Asiatic
st,Sotho,Niger–Congo
es,Spanish,Indo-European
su,Sundanese,Austronesian
sw,Swahili,Niger–Congo
ss,Swati,Niger–Congo
sv,Swedish,Indo-European
ta,Tamil,Dravidian
te,Telugu,Dravidian
tg,Tajik,Indo-European
th,Thai,Tai–Kadai
ti,Tigrinya,Afro-Asiatic
bo,Tibetan,Sino-Tibetan
tk,Turkmen,Turkic
tl,Tagalog,Austronesian
tn,Tswana,Niger–Congo
to,Tongan,Austronesian
tr,Turkish,Turkic
ts,Tsonga,Niger–Congo
tt,Tatar,Turkic
tw,Twi,Niger–Congo
ty,Tahitian,Austronesian
ug,Uighur,Turkic
uk,Ukrainian,Indo-European
ur,Urdu,Indo-European
uz,Uzbek,Turkic
ve,Venda,Niger–Congo
vi,Vietnamese,Austroasiatic
vo,Volapük,Constructed
wa,Walloon,Indo-European
cy,Welsh,Indo-European
wo,Wolof,Niger–Congo
fy,Frisian,Indo-European
xh,Xhosa,Niger–Congo
yi,Yiddish,Indo-European
yo,Yoruba,Niger–Congo
za,Zhuang,Tai–Kadai
zu,Zulu,Niger–Congo
